dataset,n,delta,kappa,cp_gap,risk_gap,nc
diabetes,442,0,1.213099171589455,-17.445290556597655,-400.53698784561084,110
diabetes,442,0,1.6871205101204605,-21.002684100200327,-864.7849334846028,110
diabetes,442,0,0.9926333939702517,-12.261852580871306,-962.69555836363,110
diabetes,442,0,0.02180691019999455,0.2601279993035064,185.5079798240008,110
diabetes,442,0,1.5150057450126415,-15.699248648484172,-401.8043842854213,110
diabetes,442,1,0.5296316260549835,6.1759391295613,-649.9281939357493,110
diabetes,442,0,1.1062942150516624,-13.683418591494586,-646.6106934851232,110
diabetes,442,0,0.9205093854805038,-10.497408492543542,-506.5010057646127,110
diabetes,442,0,0.07565646857631647,-1.0481818901744475,-260.25728664936923,110
diabetes,442,1,0.08894131297173029,1.0413940216559183,-511.21580349128726,110
diabetes,442,0,0.8572325050929425,-9.715316010961885,-1151.188048552423,110
diabetes,442,1,0.33745594594673756,3.8907660876063233,-947.1448666650881,110
diabetes,442,0,0.5759617814801448,-7.79635312980011,-627.8569262414894,110
diabetes,442,0,0.4872456226080509,-6.010719929519325,-794.1690275738092,110
diabetes,442,1,0.24826702564574415,2.97503773101721,-686.6939907800902,110
diabetes,442,0,0.865603402490729,-10.408275107921583,-772.6766802440306,110
diabetes,442,0,2.0906827411600823,-22.14751697896304,-239.79762616725975,110
diabetes,442,0,1.3778883192983564,-14.963024595976322,-404.0998891966442,110
diabetes,442,0,2.2329591457202467,-21.64579250416361,-463.5773997793176,110
diabetes,442,0,0.25294876813710704,-3.0983843112493616,-1025.0105817770354,110
diabetes,442,0,1.132888147223828,-13.380507294702255,-1183.5877722039522,110
diabetes,442,1,0.7243207193580548,9.76223513355788,-723.4204285997553,110
diabetes,442,0,0.7730071890657055,-8.130650654107882,-888.4772441962305,110
diabetes,442,0,0.392314309752099,-4.69402809229274,-272.8057803507463,110
diabetes,442,1,0.7542095943959186,8.913288258460227,-991.7625180531768,110
diabetes,442,0,0.18776370154567984,-2.3151968613593397,-1204.9065361786425,110
diabetes,442,0,0.21419613017886854,-2.8183164935535956,-547.4522034658426,110
diabetes,442,0,0.5489399381662229,-6.900336460676158,-444.82128486730016,110
diabetes,442,1,0.44973015986039283,5.272872140949943,-579.8454369890142,110
diabetes,442,0,1.4180994674866712,-19.072410025239094,-469.6847542701057,110
diabetes,442,0,0.900028526587438,-12.690376741096912,-27.94600910267536,110
diabetes,442,0,1.8287569082828552,-22.357465563392964,-1124.1774357734234,110
diabetes,442,0,0.9512990581012388,-10.87643010361353,-163.02405605835156,110
diabetes,442,1,0.2666603361956623,3.2359461134012975,-774.1693288083493,110
diabetes,442,0,2.021830482422334,-18.15472690828824,-1036.2777525481965,110
diabetes,442,0,0.6124990890167922,-7.893062839759267,-527.4660506174027,110
diabetes,442,1,0.22832812367643338,2.5167166929285543,-613.6468569166277,110
diabetes,442,0,1.5182423322297929,-17.78773649828466,-869.2486684844125,110
diabetes,442,0,0.9462153821709085,-8.71295194221193,-998.4003956438564,110
diabetes,442,0,1.2744928768388892,-15.412172890654034,-725.069994110811,110
diabetes,442,0,0.6610653464217363,-8.542537250762251,-191.3317782746194,110
diabetes,442,0,0.118182558954267,-1.599876849546206,-287.46738180290185,110
diabetes,442,0,2.1145116671604316,-23.999522026959312,-420.3905535867939,110
diabetes,442,0,0.3463472138400246,-4.276526120787054,-840.7095846164857,110
diabetes,442,0,1.3109539975943654,-13.193650785593206,-635.2006692486243,110
diabetes,442,0,0.12857907026871324,-1.5418660485621842,-486.9830219156702,110
diabetes,442,0,0.26518270889736556,-3.1847765713436615,-429.7218681436343,110
diabetes,442,0,1.4125795644707928,-18.383688873128904,-864.0882673866622,110
diabetes,442,0,1.6442369297472732,-18.421595550067423,-1092.7973840922623,110
diabetes,442,0,2.4115817355613793,-26.266840453413863,-648.3792833156499,110
diabetes,442,1,0.6901559149454048,8.311381523443657,-807.6877590811105,110
diabetes,442,0,0.24311864762270674,-2.7604739692050657,-783.846062133573,110
diabetes,442,0,1.9532695536008655,-22.94900335036067,-618.5037912097623,110
diabetes,442,0,1.1236187048544446,-14.903348739093985,-79.08913600378946,110
diabetes,442,0,2.511863376292702,-32.0579130096055,-343.10728515120127,110
diabetes,442,0,1.9309400678659214,-21.733403128653976,-1201.3162968554198,110
diabetes,442,0,2.2640943654779866,-27.77774385643889,-764.9223387574261,110
diabetes,442,0,0.855164823174228,-9.552076321637912,-542.3643961182838,110
diabetes,442,0,2.00034546311789,-24.824269277086927,-744.1239945967363,110
diabetes,442,1,0.723758654199035,8.44683686376186,-823.6251496505411,110
diabetes,442,1,0.1647528714477556,1.8269902620137088,-662.5423481727253,110
diabetes,442,0,0.004887224003634562,-0.05900938027002667,-669.990179570832,110
diabetes,442,0,2.0752429520545395,-21.656320246925958,-823.5015041637384,110
diabetes,442,0,1.3992137050665134,-17.111235173043184,-507.5245463194842,110
diabetes,442,0,2.134680349105391,-20.93448119004688,-491.52939784042246,110
diabetes,442,0,1.7604496324972008,-19.77624975080019,-760.7391353717117,110
diabetes,442,1,0.48051964597104824,6.259489695626627,-1015.1908354621182,110
diabetes,442,0,0.20777769077726393,-2.3460298300323927,-231.41061168317174,110
diabetes,442,0,0.06491020263398022,-0.7783606275766033,-421.40452583176193,110
diabetes,442,0,0.11584276546953036,-1.4767445570836344,-526.7931210263928,110
diabetes,442,0,0.6862326920271355,-7.151704337474797,-853.3599174795982,110
diabetes,442,1,0.011272918703406515,0.16006920940296254,-76.45243701603977,110
diabetes,442,0,0.6458493211245698,-8.34964141214337,-760.0372731108691,110
diabetes,442,0,1.5624796557514453,-20.42576049705903,-430.24989245156803,110
diabetes,442,0,1.3302072122641577,-15.219474189913058,-531.7292468138389,110
diabetes,442,0,0.19087788227747382,-2.2169941352336195,-845.5763034141896,110
diabetes,442,1,0.9636094145195965,11.41972793692895,-1057.4868446308733,110
diabetes,442,0,0.6054297124913743,-7.926838512176317,-85.98341051229909,110
diabetes,442,0,1.322764913717919,-17.147213498634557,-942.5351777877331,110
diabetes,442,0,1.4678064788561327,-18.12830092685087,-1076.5132527622059,110
diabetes,442,0,1.253288763268448,-14.378387212808263,-78.71996447986112,110
diabetes,442,0,1.5264030670775075,-16.38897188931918,-520.0152644067739,110
diabetes,442,0,1.1965900478444136,-14.765886079552615,-1317.5036915928263,110
diabetes,442,0,1.4266805074858266,-17.101714324170445,-750.9472910542786,110
diabetes,442,1,0.42010844844627504,5.154476569884139,-861.4287411270843,110
