n,delta,kappa,cp_gap,risk_gap,nc,n_group
30,0,9.485826088239106,4.140538551063476,0.4480995754565986,10,30
30,0,6.362305752007371,3.984671858075134,2.5347086565431782,10,30
30,0,0.35489944749892693,0.18478044653863712,1.4428716805156019,10,30
30,0,5.798730685825034,-4.054929063012142,-1.7520449188780867,10,30
30,0,8.846469483066363,2.9247366853415917,2.4861635873167205,10,30
30,0,10.83786842330933,5.308658620284551,3.7417103085640373,10,30
30,0,4.396904304414796,1.6448071550533805,0.9233393824795215,10,30
30,0,1.671980680241806,-0.9983434189314124,-0.523246614580009,10,30
30,0,8.880379059073793,3.262347369081354,2.2736956239745862,10,30
30,0,3.209647791353864,1.2053159287748514,1.8707849981892064,10,30
30,0,1.2834271291024504,0.8471548539462859,0.908973501659236,10,30
30,0,5.188193978929399,2.345794974988316,2.3358093248376686,10,30
30,0,6.301735538965185,2.091002074897563,1.7785032146408146,10,30
30,0,8.811029715014799,3.2505949881308642,0.3136481948914964,10,30
30,0,6.381360756762988,2.1253001629084505,1.9441512913376293,10,30
30,0,6.852493123487238,3.581035327020223,3.690564843532754,10,30
30,1,4.880482714770271,-1.4691685084804438,2.7249939349129075,10,30
30,0,5.435231265021062,1.542084791750797,0.9858769543757488,10,30
30,1,5.515679748390991,-2.4755937230479503,1.610562905191991,10,30
30,0,4.816779675750928,1.7345800311225794,2.3002377597816075,10,30
30,0,6.633164429401793,2.307936759641681,1.5243463414995346,10,30
30,0,1.2598969540971579,0.23534255100341905,2.3910796164061208,10,30
30,1,1.844749207873901,-0.6722163154374057,1.3867713742819363,10,30
30,0,6.960534261288894,2.113122863711231,0.8958944739762882,10,30
30,0,8.882836026342577,4.879259301952731,1.9198345487525654,10,30
30,0,0.7100540077826877,0.3072864833097979,2.2810256726787563,10,30
30,0,4.890863385919078,2.903573365481469,3.687624396739023,10,30
30,0,2.8028901781477384,0.9581901189050104,2.5249000104986528,10,30
30,0,6.2805326697776,2.620436171979593,1.0804708813567299,10,30
30,0,5.289385882198627,2.3103503618621275,5.633725578849019,10,30
30,0,4.493828166072887,1.3469396050715328,5.04091934146329,10,30
30,0,8.226057738405395,3.295754797154938,5.395501199322552,10,30
30,1,2.9919654391443293,-1.839511008517059,3.6689837691636624,10,30
30,0,11.793888864601147,2.4704130150992554,2.0187925129396485,10,30
30,1,3.1314810677407303,-1.4119351531031654,1.2695252669398274,10,30
30,0,3.6483347693405137,1.957925405911194,1.939773490203458,10,30
30,0,1.2766598292528524,0.3298481544055343,2.198535418866374,10,30
30,1,6.379092089988831,1.821517580920875,-0.9079182283280849,10,30
30,0,9.342992561007962,4.645305818356,1.4245107876685248,10,30
30,0,6.833850599907197,3.987489745886693,1.65543053318136,10,30
30,0,8.99434206673765,2.6932536423597933,0.844071087121919,10,30
30,1,0.4585534724444289,-0.23172892079354934,1.6802785592422396,10,30
30,0,10.186475242989243,3.7237594084018957,3.26510827272795,10,30
30,0,3.89665987573938,-2.158634975654439,-0.2223581137507673,10,30
30,0,3.5600167730729204,0.9925881288239959,2.8908324177639733,10,30
30,0,5.212618181678759,2.2520607424159946,1.5471035027221753,10,30
30,0,0.3608356111888918,0.22131006006122167,5.291113882716962,10,30
30,0,6.530389907785552,3.5154050546659157,2.925706842002225,10,30
30,0,0.2896912975520542,0.2704771502986292,2.5089971133728204,10,30
30,0,10.809444730013817,5.399922700249316,1.2320974635157962,10,30
30,1,7.096138144607236,3.5249025343019977,-0.5892384254929439,10,30
30,0,6.180176270999018,3.105925854930484,1.495696345522878,10,30
30,0,6.734505960994123,3.372063046731941,1.0658623109721828,10,30
30,0,9.34933858058451,2.0425560039310393,4.4369258608493505,10,30
30,0,9.535364672651166,2.6733979952660096,2.006673784269053,10,30
30,0,4.431322974786654,2.332552028151235,2.116923839154932,10,30
30,0,3.9129845928035385,1.8524779673347234,2.3281992819574753,10,30
30,0,9.081206029056421,6.2741250741717245,2.4295290276159296,10,30
30,0,7.314818940186427,2.9576556760083506,3.053940576715233,10,30
30,0,6.778751194113479,3.172916873567071,1.978695006790091,10,30
30,0,6.602725780481705,2.7190250877982303,2.3306256447150453,10,30
30,0,3.8293407737464045,2.116395056529319,6.026293121050363,10,30
30,0,6.682271124763003,3.981898836840189,1.8031238397774754,10,30
30,1,0.3548118582092269,0.11346639081449972,-0.5639706653080281,10,30
30,0,11.683745985480007,4.108670594089638,0.2342307864750217,10,30
30,0,7.82275457215336,4.041596979710352,1.6790916045560993,10,30
30,1,8.882215310804716,4.307440683399253,-0.15340465108114998,10,30
30,0,10.396211595543909,4.924449105878583,4.877817624057778,10,30
30,0,8.679366900297655,3.867067703986966,2.239617089300417,10,30
30,0,10.844334993793547,5.5343407206664885,4.474174796189262,10,30
30,0,11.75317064540899,6.563491602981244,6.280290653631007,10,30
30,1,3.152392993225987,1.322527858673702,-0.24529724684817267,10,30
30,0,2.2127204497433444,1.4751026862089822,1.4596619001799072,10,30
30,0,7.309144657997141,3.3065788356702512,1.5696603733300734,10,30
30,0,11.330130875498318,4.155760185299192,3.822467109465043,10,30
30,0,4.559270092712703,2.165652616344452,3.0228300562984316,10,30
30,0,7.227276635254568,3.4956938228039536,0.4653631935834426,10,30
30,0,10.664716037169649,5.5666283579539195,1.5534214921969687,10,30
30,0,8.693480252627287,2.8148476200837695,0.9218789381248258,10,30
30,0,4.145337237294485,2.6688877652693774,0.5667287182893923,10,30
30,1,12.011380770525689,4.617816396456707,-0.007315802222468859,10,30
30,1,1.540457282482607,0.7795735846503513,-0.0840727023503991,10,30
30,0,9.110304523974682,3.869089770287702,3.49559600259094,10,30
30,0,10.629218623951333,4.232842189115098,4.70901355565894,10,30
30,0,4.682061297802396,3.1551411317936697,6.157542352321594,10,30
30,0,9.99789911847423,6.883093524308953,3.6651467417007813,10,30
30,0,7.452637347111605,4.894718287926592,3.9621387832823007,10,30
30,0,14.264380574811524,3.763077012368748,0.7075184415032996,10,30
30,0,7.521855576996875,-3.898155712999923,-2.153140646763262,10,30
30,0,4.757945751650528,1.7417431138516672,2.1701467700901325,10,30
30,0,8.479241202363726,1.7131129466616644,2.8646390732640983,10,30
30,0,2.5323951907870277,-1.1843507488972032,-0.048916138681264876,10,30
