rho,n,p,delta,cp_ols,cp_ridge,risk_ols,risk_ridge
0.0,300.0,50.0,0.0,4.083430262821457,4.052969445495523,0.9445664006194202,0.9406341544470841
0.0,300.0,50.0,0.0,4.111990008061229,4.089385648694665,1.6207494049384479,1.6108849827130776
0.0,300.0,50.0,0.0,3.7079120788508497,3.707716347438024,1.3720018222777353,1.370516325099056
0.0,300.0,50.0,0.0,3.5680870073969913,3.5179880870472204,1.8889988084462292,1.8671275534178062
0.0,300.0,50.0,0.0,4.245843851496866,4.236460902830187,1.1833377368098794,1.1757276138696469
0.0,300.0,50.0,1.0,2.942168198406929,2.946150649362529,1.3177433234010543,1.3145445171365406
0.0,300.0,50.0,0.0,3.947296123318854,3.9248388968207837,1.346959527429105,1.3335321481800642
0.0,300.0,50.0,0.0,3.530260461127721,3.4639638281886134,1.371467872085148,1.362218949083101
0.0,300.0,50.0,0.0,4.316469134455676,4.235628791074727,1.0925910817313895,1.089806003356367
0.0,300.0,50.0,0.0,4.199070206246566,4.156617111156365,1.1034480397423505,1.095157302784697
0.0,300.0,50.0,0.0,4.965316240927834,4.904327130149704,1.479523132447721,1.4664804904468858
0.0,300.0,50.0,0.0,4.029559126423985,3.9937892052191906,1.6558864626275236,1.653173499870939
0.0,300.0,50.0,0.0,4.539564256444123,4.539092958778724,1.7074692840137395,1.6885451645366276
0.0,300.0,50.0,0.0,3.2601769861778203,3.2369210515085673,1.5945049517953287,1.5826587335152362
0.0,300.0,50.0,0.0,3.6167169539298127,3.6075073151933874,1.1261834789349938,1.1067595008236577
0.0,300.0,50.0,0.0,4.2346894532563795,4.2018219268781385,1.694281854643583,1.681272080964861
0.0,300.0,50.0,0.0,3.8544441925297157,3.8183470631693837,1.3915269328222604,1.3739075931488578
0.0,300.0,50.0,1.0,4.72707540391704,4.599303150653324,1.1862815734911343,1.1871386776410215
0.0,300.0,50.0,0.0,4.684456971050812,4.574333366794299,2.1893608187734963,2.1626740152261448
0.0,300.0,50.0,0.0,4.335020702713829,4.26738955987856,1.4962086513041408,1.4765876570118683
0.0,300.0,50.0,0.0,4.262038266308606,4.184822250084329,2.573150373794241,2.5043730726200826
0.0,300.0,50.0,0.0,3.7791340746398308,3.753603429848829,1.328002569278565,1.3222647823339195
0.0,300.0,50.0,0.0,3.762930128654424,3.653885296447189,1.3373311753853645,1.3348252587568812
0.0,300.0,50.0,1.0,3.34698085396006,3.3674085683249064,1.4015599173371966,1.389925237582591
0.0,300.0,50.0,0.0,3.6965479755781057,3.6601405973827252,1.6137257071259454,1.6075397728603285
0.0,300.0,50.0,0.0,3.690421081241503,3.654351334460206,1.8173754209438868,1.8127541501267261
0.0,300.0,50.0,1.0,3.926612399247785,3.8753545626787695,1.3247802813911207,1.3294642809105228
0.0,300.0,50.0,1.0,3.9018716279421954,3.911909337631694,2.0165668345704697,1.988813543488579
0.0,300.0,50.0,0.0,4.171799684953081,4.105079865578983,1.6530222596401032,1.6455589878878818
0.0,300.0,50.0,1.0,4.088603331049025,4.087265885326851,1.0567065766241441,1.058736154220931
0.0,300.0,50.0,1.0,3.9847410117847093,4.001535395912351,1.7142559971528115,1.6936981162241733
0.0,300.0,50.0,0.0,4.247403410143474,4.188504797791119,1.7850849190920128,1.78032369749496
0.0,300.0,50.0,1.0,4.251556098489327,4.284087440298411,1.2064441378725455,1.185348437792767
0.0,300.0,50.0,0.0,4.224900735393718,4.161608033334543,2.0393662879548,2.012840154083466
0.0,300.0,50.0,0.0,4.1143738112881145,4.094119226345111,1.9767735796709982,1.9443048065141069
0.0,300.0,50.0,1.0,4.944345830134756,4.970850580010356,1.5128276272447703,1.5021829153116157
0.0,300.0,50.0,0.0,4.979985315422018,4.955694531545839,2.1259948844939416,2.1123682853897634
0.0,300.0,50.0,0.0,4.275129940134562,4.263796913627511,1.701689406042398,1.696519705489403
0.0,300.0,50.0,0.0,4.396742658667538,4.34398761186781,1.7097946069887366,1.6754728477840468
0.0,300.0,50.0,0.0,4.439678400841867,4.421227383247712,1.9137252568445657,1.8747406433609202
0.0,300.0,50.0,0.0,4.387875011107327,4.377202705401953,1.6343717743405757,1.626724453688703
0.0,300.0,50.0,0.0,4.062646190528953,4.011950895594331,1.8335952474396342,1.7846743726049483
0.0,300.0,50.0,1.0,4.28992896274744,4.301106400133905,1.1310521050630173,1.1144595925868164
0.0,300.0,50.0,0.0,3.7253656289359594,3.653872574666215,1.6662349119489137,1.6398937205290884
0.0,300.0,50.0,0.0,3.420933996938457,3.3919921427221382,1.3896581113634743,1.3853016416309034
0.0,300.0,50.0,0.0,4.83349802365632,4.730287308604659,1.700569363092407,1.6587688704386097
0.0,300.0,50.0,0.0,4.0272101992206,3.96016603694897,1.8261879965506997,1.8132937727019647
0.0,300.0,50.0,1.0,3.7783344934337992,3.7878988520897785,1.2045622274395762,1.2012681199355733
0.0,300.0,50.0,0.0,4.002549145249942,3.9756434254644555,1.4981207887145218,1.4908842987388136
