n,delta,kappa,cp_gap,risk_gap,nc
50.0,0.0,3.1318341134875505,6.920076797857292,10.809077486620545,15.0
50.0,0.0,3.5408930634768527,7.242789836016067,15.439281085691206,15.0
50.0,0.0,3.0876942468456305,14.823785412638165,39.27858153928106,15.0
50.0,0.0,3.0691620758661227,8.837089901170856,36.66657910145761,15.0
50.0,0.0,1.6999718418609093,3.7967444348755683,1.729514307628571,15.0
50.0,0.0,3.5429778302904276,35.834475667063536,107.82838928742821,15.0
50.0,0.0,3.959113957892918,37.90745909580586,197.35404961916416,15.0
50.0,0.0,2.187745575241509,8.983872833314312,21.952752246408977,15.0
50.0,0.0,2.7819113833056686,7.001727723046899,5.4042573057180725,15.0
50.0,0.0,1.8689394972961413,2.9956967558431256,4.934433559098791,15.0
50.0,0.0,1.4914298454636843,2.909607151922594,5.8110299294810615,15.0
50.0,0.0,4.274595741789108,38.70690996286277,40.488819713170386,15.0
50.0,0.0,3.5790812399867398,12.418403992606144,8.313094718595254,15.0
50.0,0.0,2.471940945698386,10.601594759725987,67.94851368172257,15.0
50.0,0.0,0.7662706992627064,1.6233488465783443,3.734938553271065,15.0
50.0,0.0,2.7072841136260553,7.456487122481141,5.643312626818135,15.0
50.0,0.0,3.2415450299946533,11.66626999547234,21.984147961800186,15.0
50.0,0.0,1.3736375503442682,2.4296033899804073,4.39332887637065,15.0
50.0,0.0,3.959328555931147,11.589451537525374,12.379622455963602,15.0
50.0,0.0,3.978831083567582,17.57013249446402,41.61725284643149,15.0
50.0,0.0,2.5434223586743396,9.765004362936601,34.915936888933985,15.0
50.0,0.0,1.0362972119690346,1.497650395788137,1.2595252281101965,15.0
50.0,0.0,2.4750509058685557,6.763367771801802,7.514578689854428,15.0
50.0,0.0,3.2195049843175245,7.70413887660888,1.8009295089471862,15.0
50.0,0.0,4.07885723573107,14.640246815526531,18.712178956212828,15.0
50.0,0.0,3.5742250648691916,14.886516752477952,33.25880490335897,15.0
50.0,0.0,2.658645463467048,8.776520626284336,45.68757457569642,15.0
50.0,0.0,3.367112213271056,44.74009699362522,252.29943329764663,15.0
50.0,0.0,3.4284529451821384,9.04851919608914,1.4680888736281386,15.0
50.0,0.0,2.5777558558894818,4.213131128057375,6.9488550464590295,15.0
50.0,0.0,0.06401277904444597,0.07954619952317898,5.379268019245131,15.0
50.0,0.0,1.5248809060352833,2.7104258087279183,4.4098063881756815,15.0
50.0,0.0,2.0936738395470527,5.134468323293259,10.002573675136631,15.0
50.0,0.0,1.4796693837338042,4.613627804411259,16.95360238576435,15.0
50.0,0.0,2.1394579420236837,8.755831431731224,11.301030469659398,15.0
50.0,0.0,4.9165215447338015,6.93046255816221,3.3746248058718735,15.0
50.0,0.0,3.7872724812193868,38.348302352056315,398.3656048964627,15.0
50.0,0.0,1.4414144886443574,4.120647014640261,13.15957774690466,15.0
50.0,0.0,2.8861679524414154,7.905361337233062,20.873063947553817,15.0
50.0,0.0,4.41789055970622,13.969489421607575,22.994048509595423,15.0
50.0,0.0,2.244214739621296,4.996712689982226,14.23589822963342,15.0
50.0,0.0,3.903137123449064,36.586673658788904,122.7273519837845,15.0
50.0,0.0,2.8334137530827475,9.894979919727442,9.086265885911164,15.0
50.0,0.0,2.2920467025691518,4.64085355572959,5.600950894317521,15.0
50.0,0.0,2.32706484293971,4.233896707634715,4.905829641728795,15.0
50.0,0.0,0.8418290670359977,1.716582207649318,5.62022969307448,15.0
50.0,0.0,2.5622148076269813,9.00627993790619,20.055877291443934,15.0
50.0,0.0,2.575942524016878,3.6310244093672055,1.504286130456556,15.0
50.0,0.0,3.9791277894926362,47.50581978921782,263.7848764694565,15.0
50.0,0.0,3.390226198353681,13.74419659645023,20.70103140807263,15.0
50.0,0.0,0.8276500202340342,0.9387606786782419,2.870116284115075,15.0
50.0,0.0,0.3796273592074153,0.7188465992064526,2.108293492592961,15.0
50.0,0.0,3.804309192659937,26.57478869468575,118.00686505953432,15.0
50.0,0.0,3.432942570467311,6.150911126954645,7.941745232582049,15.0
50.0,0.0,3.6569043714097096,6.887753830313912,24.401988911689546,15.0
50.0,0.0,1.1532042209495814,2.938299531221043,4.819485183555653,15.0
50.0,0.0,2.0763659089232185,4.791924348235225,7.211396754658773,15.0
50.0,0.0,2.954838865647646,7.053830093097562,4.101518335986041,15.0
50.0,0.0,1.5669667653834427,3.8260329978299294,17.830066920324434,15.0
50.0,0.0,1.0777313971525986,2.256674257776452,5.693431886551069,15.0
50.0,0.0,3.3086650796805706,22.088595304326756,129.5887221870221,15.0
50.0,0.0,0.9952158704112052,1.9072955715392936,3.4589639883225543,15.0
50.0,0.0,2.6412821701570532,4.012892575769168,7.105408469619022,15.0
50.0,0.0,0.22171935667176965,0.4547512072865265,2.2444544185320865,15.0
50.0,0.0,2.2545439022540066,3.856099320202474,9.06275173369557,15.0
50.0,0.0,4.486924071902613,84.73154473837948,927.9649067117007,15.0
50.0,0.0,3.251184439778771,7.906858449510043,2.3713430607086905,15.0
50.0,0.0,1.8992361872176542,2.561409486281561,7.242444473981897,15.0
50.0,0.0,3.4665688922049003,16.288414002554266,83.01013043578212,15.0
50.0,0.0,3.301332747810268,15.42432926284544,15.392719616900706,15.0
50.0,0.0,1.5184108405411447,4.01490026045271,4.300102718238039,15.0
50.0,0.0,3.0748460238649464,9.789833531895551,11.422762882180574,15.0
50.0,0.0,3.0067969825525314,8.32105010911653,10.244135439874329,15.0
50.0,0.0,1.6945320279065654,3.4871466185472313,1.8482516152340072,15.0
50.0,0.0,3.6978058067285424,7.370344917984703,12.997147494285183,15.0
