n,delta,kappa,cp_gap,risk_gap,nc,cp_ols,cp_ridge,risk_ols,risk_ridge
50.0,1.0,0.20737101467668592,-0.0355364099514901,0.4282087843924156,12.0,4.272630525201537,4.308166935153027,3.321580299201799,2.8933715148093833
50.0,1.0,0.8411301436550229,-0.1903632819907406,0.7542978485476195,12.0,6.933056358796136,7.123419640786876,3.435887969747468,2.6815901211998483
50.0,0.0,4.343621746763326,0.6064196550413303,0.564013455859059,12.0,5.148958390944017,4.542538735902687,4.9824979711675015,4.418484515308442
50.0,1.0,2.246200541330767,-0.3387300730609768,0.35121308150537534,12.0,5.052605952325416,5.3913360253863924,2.3985256971029494,2.047312615597574
50.0,0.0,1.0462805191283222,-0.1542789092729544,-0.03150891238622844,12.0,5.77595460022612,5.930233509499074,2.577342242349444,2.6088511547356723
50.0,1.0,2.646457379721757,-0.462219145643914,0.11314442521032264,12.0,6.352745994884482,6.814965140528396,2.126157816759377,2.0130133915490545
50.0,1.0,3.7501871509987263,1.0554100917660092,-0.11518198448305794,12.0,7.813075446678288,6.7576653549122785,2.231765964409685,2.346947948892743
50.0,1.0,6.551698524049587,-0.6560856250874663,0.4955901748263143,12.0,3.4329890380790955,4.089074663166562,3.33223687109941,2.8366466962730956
50.0,0.0,9.442897044273034,2.1512600562501634,0.3509473563640788,12.0,8.684472496877088,6.533212440626925,2.8013240424997377,2.450376686135659
50.0,0.0,10.45348791297543,1.5824888550625733,0.14436409691288854,12.0,7.21997883630191,5.637489981239336,1.2299589013831655,1.085594804470277
50.0,0.0,0.6635187092549718,0.1898330694244219,0.9198141913455244,12.0,4.143500335282727,3.9536672658583054,3.7298270258154935,2.810012834469969
50.0,1.0,9.095751645177309,3.0421893951731285,-0.26875773798197233,12.0,6.646964494407323,3.6047750992341943,6.253718057969017,6.52247579595099
50.0,0.0,4.536884831695789,1.0884668146613423,0.4522863325017479,12.0,4.1040487158303085,3.015581901168966,4.999484555615466,4.5471982231137185
50.0,0.0,2.951343208136015,0.27008618140456697,0.03290172917555534,12.0,7.141870677144353,6.871784495739786,2.4296254879293047,2.3967237587537493
50.0,0.0,6.0773213728154225,2.096726790958053,0.2119544951257546,12.0,6.685207577978207,4.588480787020154,2.6321784704695514,2.420223975343797
50.0,0.0,3.6872321173707485,0.5429996480523256,0.7911558045703604,12.0,4.705259684337832,4.162260036285506,4.023352554380423,3.232196749810063
50.0,1.0,0.12155022619855774,-0.01711637887161377,0.010508682650696821,12.0,7.158625014173003,7.175741393044617,1.861968991619964,1.8514603089692672
50.0,0.0,10.315196191739247,0.8083886830217875,0.2353713102332451,12.0,8.785383184230922,7.976994501209134,4.2096946568218785,3.9743233465886334
50.0,0.0,1.702142685943343,0.24539604324018693,0.9525021957511557,12.0,5.760756452846651,5.515360409606464,4.370075645022413,3.4175734492712575
50.0,1.0,3.683972123924811,-0.7133165500391727,1.2445258633060767,12.0,2.5181106386169843,3.231427188656157,6.727952747615261,5.483426884309185
50.0,0.0,4.228795496208926,-0.5552150473311146,-0.2440507066288915,12.0,4.464289763154625,5.019504810485739,2.3838299209969245,2.627880627625816
50.0,1.0,3.408630135332819,0.6035466871445325,-0.06119212126913132,12.0,4.541883233506307,3.9383365463617745,2.8125004077769216,2.873692529046053
50.0,1.0,0.8275676568238018,-0.10209174686280331,0.22523534182918414,12.0,6.048745408948167,6.1508371558109705,3.356637039501537,3.1314016976723527
50.0,0.0,13.246061767356311,2.5032202082151525,2.0257057696361915,12.0,7.32407541634245,4.8208552081272975,5.497312208341761,3.471606438705569
50.0,0.0,10.504104880638279,0.7488356958144604,0.465067859467597,12.0,4.049517267523827,3.3006815717093665,4.948858774892099,4.483790915424502
50.0,0.0,4.212193814894372,0.7780683007933913,0.9689179351126205,12.0,6.5841364304058985,5.806068129612507,6.821435589178299,5.852517654065679
50.0,1.0,8.636887259403283,1.7187792577930425,-0.6697073698738132,12.0,6.207521050104064,4.488741792311021,2.155414854064032,2.825122223937845
50.0,0.0,3.6858825975341154,-0.47613102570774446,-0.2850870184916299,12.0,3.846572221212148,4.322703246919892,2.926834938400587,3.211921956892217
50.0,0.0,5.3092239820166105,0.9201025753272196,0.6826934940184484,12.0,8.018403282530112,7.098300707202893,4.351266567454426,3.668573073435978
50.0,0.0,4.843678138290493,0.6883663366884063,0.17986054976680732,12.0,5.478598606481352,4.790232269792946,1.2877073407721218,1.1078467910053145
50.0,0.0,1.0928671783333597,0.17590223136761374,0.8312333798682379,12.0,6.200320151788084,6.02441792042047,3.7849787518108067,2.953745371942569
50.0,0.0,5.645792546918516,0.8058677747507588,0.5892590242038263,12.0,7.769709850164001,6.963842075413242,4.020849796190871,3.4315907719870444
50.0,0.0,3.865173430782742,0.6345859181997024,0.24534829365544475,12.0,6.190110060377988,5.555524142178285,5.419642117915676,5.174293824260231
50.0,0.0,8.016860463022116,1.339798119008666,1.8355874351431036,12.0,11.527999477816145,10.18820135880748,4.782641919432235,2.9470544842891315
50.0,1.0,5.689456606028528,-0.5306159816392375,0.2681974624668939,12.0,5.6121143067542265,6.142730288393464,5.193243984247117,4.9250465217802235
50.0,0.0,1.079476159523848,-0.12698496308498086,-0.22748953537275574,12.0,4.097241492731795,4.224226455816776,3.314500092426917,3.5419896277996727
50.0,1.0,1.7219276419870557,0.2455703631438162,-0.7248543776802219,12.0,2.5165842931823112,2.271013930038495,5.35104852685073,6.075902904530952
50.0,0.0,3.676589381290321,0.5166346266490089,0.06312536036074912,12.0,5.779780887152327,5.263146260503318,3.609867790750478,3.546742430389729
50.0,1.0,4.979962866312799,-1.0601455566605793,0.7443346190215938,12.0,6.983157881668193,8.043303438328772,3.4749665195444526,2.7306319005228588
50.0,0.0,0.17415012763311621,0.02788928715286776,0.9995543145926042,12.0,4.485112166179682,4.457222879026814,4.155562568481704,3.1560082538891
50.0,0.0,6.243260109810853,2.3846041925064325,1.123237914125295,12.0,9.066907078733486,6.6823028862270535,4.610203390680586,3.486965476555291
50.0,0.0,4.041052493143886,-0.9658454905963083,-0.011671152048723599,12.0,5.100817192475425,6.066662683071733,2.840241445218492,2.8519125972672157
50.0,0.0,3.9594506524908772,1.389403274399557,0.9653193441909256,12.0,6.143062818618205,4.753659544218648,3.550647799119689,2.5853284549287636
50.0,1.0,0.01922818897835477,-0.0024555203361762423,0.1359967959476971,12.0,7.273433275484559,7.275888795820736,3.0393435078651514,2.9033467119174543
50.0,0.0,1.3733634023173007,0.24728076637430618,0.47047002211891686,12.0,4.466580993705721,4.219300227331415,2.470158034996571,1.9996880128776542
50.0,1.0,5.965997862041844,-0.4255712866184922,0.4818515858459005,12.0,10.327509337566879,10.75308062418537,3.5678358765605274,3.085984290714627
50.0,0.0,2.0393228257986435,0.28669214784779573,0.6842554404331711,12.0,4.179977808297018,3.893285660449222,3.690972564200491,3.00671712376732
50.0,0.0,0.4844939875422837,0.07228614773590625,0.4319112385177448,12.0,4.2899869808436275,4.217700833107721,1.9795043859580268,1.547593147440282
50.0,1.0,8.876757829830018,-1.798634858528997,1.2840503211459415,12.0,5.718018980227934,7.516653838756931,7.716655305672003,6.432604984526061
50.0,0.0,0.44314265065760994,0.11718757115730138,0.7756937126200347,12.0,6.477825351639575,6.360637780482274,2.7549096164389066,1.979215903818872
50.0,0.0,0.03839326794055304,0.004940185210863035,0.3532415693638633,12.0,6.903939839876173,6.89899965466531,3.6764282531585355,3.323186683794672
50.0,1.0,4.921506254412414,0.9314795650764598,-0.2607461847520294,12.0,5.270877591219369,4.339398026142909,2.3931288213561968,2.653875006108226
